misspelled,correct
casualty,casulaty
strawberries,strawberrys
twelfth,twelth
spirituous,spiritous
bullying,bulling
sisters,sister*2
judgment,judgement
insure,ensure
overshadowed,overshaddowed
exceedingly,excedingly
vinaigrette,vinagarette
dinnertimes,dinner_times
ratify,radify
executive,exectutive
storey,story
nicknamed,nick-named
protecting,pretecteng
repetitious,repititious
Friday,Firday
demographic,demographical
mathematically,mathematicaly
Apprenticeship,Apprentiship
match,mach
resolved,resoved
thoughtlessly,thorought
judiciary,judisuary
boyfriend's,boyfrends
journalism,journaism
soft,saft
propel,propell
hail,hale
infiltrated,infilitrated
proper,propper*2
stuffy,stufy
happens,happends
hurricane,huricane
students,studens
pepper,peper
hose,hoes
slight,slite
worthy,worthey
Newfoundland,Foundland
certainty,certainity
tome,tiome
rendered,renderd
functional,funcional
adolescent,adolecent
awarded,awedid
rococo,rococco
ivory,ivery
chatting,chating
Dec,des.
bug,big
embargo,emp
wise,wize
variations,verations
Gauguin,gogin
skating,skateing
rabbits,rabbit
whisper,wisper
pie,piy
pig,pag
periods,prei
in-between,in_between
mysteriously,misteriously
unintelligible,unentelegible
oak,oke
detail,detaile
ducked,duck
dresses,dressers
convicts,convicks
weaponry,weaponary
astronomy,astonomy
prevalent,prevelant*2
a_bit,abit*2
secretary's,secretary
Pleased,Please
Lead,Led
sleet,sleat
trolley,trolly
stationery,stationary
wondrous,wonderous
merchant,merchent
conjecture,conjecutre
exempt,exampt
risk,resk
dispense,dispence
rise,raise
amorphous,amourfous
whoever's,who_evers
motor-cruiser,motor-cruisr
reciprocal,reciprocel
supports,support
integrated,intergrated
admissible,admissable*2
Europeans,Europians
disciplines,disiplines
guidelines,guidlines
nail,nale
fattening,fating*2
hide,hid
beaten,beat
conduct,conduck
jaundice,jaundise
orgies,orgi's
diagonal,diagonel
Ferrari,Farrari
in_to,into
museums,mieums
settled,settle
hydrophobic,hydropobic
swearing,swearinge
visibly,visably*2
erected,erested
patience,patients
too_much,tomuch
June,Jun
assessment,assesment
coffins,cofens
naive,nieve
dressing,adressing
grief,greif*2
deciduous,ecidious
all-boys,all_boys
hutch,hudge*3
tremendously,tremendisle
entertained,enterteyned
deficiencies,defficenciy's
install,instal
Poem,Pome
unilateral,unilatreal
estate,astate
bilaterally,bilateraly
attract,atract
ceremony,cerimony
end,and
frescos,frescoes
Muslims,Mohammedans
aching,acheing
Miranda,meranda
widespread,widesread
mess,mes
protuberance,protruberance
jumping,junping
tidying,tiding
provisionally,provisionaly
daredevil,dare_devil
algorithms,algoritms
jungle,jungel*2
enter,anter
Dunstan's,Dunstan
bingley,bingly
allophone,allopone
expects,spects
executes,excecutes
talkative,takativ
clapped,claped
forehead,forhead
theologian,theologist
exhibits,exsibites
trams,trambs
strand,strnad
semi-permanently,semi_permanantly
curly-headed,curly_headed
superintendents,superintendants
bellringing,bell_ringing
toroidal,toriodal
author's,others
lasting,last
consolidate,consolodate
forfeit,forfiet
cloths,clothes
Kidneys,Kidney
clothe,cloth
driving,driveing
god,gad
washed,wosh
counselors,councellors
emphysema,emphysyma
swirling,swaling
lavatories,lavatries
rail,rale
masterpiece,masterpice
evil,efel
immigrated,imigrated
outfits,out_fits
hopeless,hopless
onto,on_too
some_other,someother
recite,resite
dunce,dunts
a_museum,amusum
attractions,attracktions
encouraging,encouraged
lovable,loveable
philosophical,philisophical
quicker,qucker
adopted,addopted*2
top,tap
ton,tun
glucose,gluo
indiscreet,indiscrest
tool,tol
serve,surve
Thames,Thems
western,westen
postcards,post_cards
abandoning,abondoning
unsaid,unsed
bulletins,bulletings
immigrants,inmigrants
genealogies,geneologies
flame,flam
three_quarters,threequaters
beard,beared
donkey,donky
handkerchief,hankerchief
ran,run*3
rat,ret
spade,spad
traditionally,traditionaly*2
curly-haired,curly_haired
Let's,Lets*2
hatch,hach
girl's,girls
prostitute,prostut
partition,partician
entertaining,intertaining
section,secion
contacted,contracked
queen,qeen
radio,raido
availability,avaiblity
situations,situation
disgust,discust
scripture,scriture
borrowed,borrowd
criticizes,critisizes
herd,heard
borrower,borrowr
despite,dispite*2
excel,excell
automatic,autumatic
farther,father
fragrant,fragrent
penance,pennance
Caribbean,Carribean
presuming,preuming
swept,sweped
liquor,licker
infectious,infectuous
accede,acceed
temptation,temtation
liaise,liase
positron,positon
weak,week
isn't_it,isinted
bad_temper,badtempar
goddess,godess
fault,falt*3
Franciscans,Fransiscans
hypocrites,hypocrits
expense,expence
confide,cornfield
maudlin,mauldin
Bechuanaland,bechuarnia_land
comical,commical
conference,conferance
bathroom,both_rom
beneficiary,beneficary
beet,beat
expected,exspected
bereavement,bereivement
cream-coloured,creamed_coloured
Cypriot,Cyprian
cracker,craker
stopping,stoping
xylophones,zylaphones
precede,preceed
Ellis,eles
expenses,expences
suggest,sugest
catholic,cathlic
suburb,suberb
specialize,special
Leicester,Lester
paralysed,paralised*2
hearty,hartty
After,Artair
unemployment,unee
bruise,bruse
functionally,functionaly
thick,thik
explanatory,explanotory
relatives,reletivs
technological,tecl
humanity,humaniti
James,Jame*21
breaks,brakes
judge,juge
sanitary,sanatary
advanced,advansed
appearing,appearin
gift,give
hunt,hont
dishonest,disonist
offices,offercis
officer,oficer
arbitrary,arbitary
excerpt,exerpt
scrabble,scrabdle
Champagne,Champange
proceeding,proceding*2
ice,ise
christmas,christman
khaki,kahki
census,cencus
hothouses,hot_houses
misleading,missleading
plus,pluse
rigor,rigeur
primitive,primative
presence,presense*2
civil,cival
puzzle,puzzel
obtaining,optaning
bath,barth
entrepreneur,entrepeneur
accomplishments,acomplishments
trafficked,trafficed
rounds,rouns
fairyland,fairy_land
indispensable,indispensible*3
purposely,purposedly
manoeuvrable,manouverable
attempted,attemted
heinous,hienous
heap,heep*4
cylinders,silinders
bargain,bargin
decorate,decerate
trim,trem
furs,fers
sometime,somtime
annoying,anoying
radically,radiaclly
commercials,commerciasl
proceedings,procedings
setting,seting
formalize,formallize
toad,toed
preceding,preceeding*3
apologizing,apaligizing
longer,loger
landed,laded
withhold,withold
uncovered,an_cafferd
voluntarism,volunteerism
fasten,fasen
backward,ackward
neighbors,neigbours
affair,afair
rod,rode
incorporation,incorperation
transportability,transportibility
displaying,dispiaying
netball,nut_ball
melon,mellon
stove,stov
exalted,exhalted
waggish,wagish
interbred,interbread
cook,kook
cyan,cxan
philippines,phillipines
posts,post
cloudy,clody
pork,prok
ubiquitous,ubiquitious
obsolete,obselete
dried,drid
bake,back
chair-leg,chair_leg
substitute,subsitute
drinks,drik
tarmac,tar_mak
reply,replie*2
bearers,bearer
abandon,abondon
entertain,intertain
awe-inspiring,awe_inspiring
sheriff,sherif
pearls,pirls
descended,descend
exams,exaim's
newcomer,newcommer
noticeably,noticably
problematic,proplematic
some_day,someday
sports,storts
prey,pray
diagrams,dig
October,Octber
conductor,conducter
sessions,sesons
altar,alter
cashier,casher
employee,employe
dismal,dismell
cases,casses
states,stats
sheds,shed
modified,modiefied
unruly,unrooly
heart-throb,heart_throb
laughter,lauger
vigor,vigeur
camp-bed,camp_bed
as_well,aswell
Cheetah,Cheter
counting,countin
pass_card,pasecart
scar,scare
inheritance,inheritage
secured,sucured
innumerable,inumerable
endorsement,endorsment
ensure,insure
Stranded,Stranden
eighty,eaghty
siren,satren
birthday,brithday
tipped,tipe
apprenticeship,apprentiship
amuse,ammuse
inform,imform
constituents,constituants
worship,warship
blocked,bloked
Castle's,castels
Phil_Hill,Phillhill
swans,swan
stewing,stawing
bound,bond
underneath,under_nethe
qualified,qualafied
feature,feture
sophomore,sophmore*2
opera,opra
corners,cornes
realistic,realistice
oratorio,orotario
weighted,wagted
torch,tourch
sprinkle,sprinkel
parent's,parents
anoint,annoint*2
ultimately,ulimately
taxonomy,taxanomy
intercourse,intercors
collate,colate
isotope,isotrop
motion,moshen
swing,suing
fetched,feched
gala,garler
millions,milons
earths,earth
district,distrect
Bernoulli,Bernouilli
convention,convension
headmasters,head_masters
caning,canning
hut,huct
cops,caps*2
alas,alass
specify,specif
modelled,malod
accused,accussed
cards,cars
most_likely,mostlikely
overfill,overfil
mates,mattes
rent,reant
silhouette,silhuette
transcription,transcripting
sending,senting
ideal,idel
primaries,primarys
clearer,claerer
falls,forls
visitors,vistors
Gandhi,Ghandi
clatter,clater
wireless,wirless
Audrey,audre
detective,detct
perch,pirch
recipe,resipe
What,Wh't
woolen,wollen
prime_minister,priminister
nadir,nadar
favor,faver
written,writen*2
crime,crim
believing,beleiving
wool,woll
centrally,centraly
begging,beggin
Athenian,Athenean
lighter,lighted
impolite,inpolite
fainted,fanded
Geoff,Goef
penguins,pengiuns
discussing,discusing
anoints,annoints
ignored,egnorred
collects,colecks
cat's,cats
fails,failes
generosity,generousity
federal,fedral
commitments,committments
spoons,spoon
controllable,controlable
good-looking,good_looking
grieved,grived
isthmus,ismus
successes,sucesses
contract,contrack
senator,senetor
utterance,utterence
bricks,brick
pot,pat
Note,Noet
pole,poll
colon,coaln
turkey,turky
subscribed,subjecribed
troupes,troups
ruining,ruinning
blessing,blessure
innkeeper,inn_keeper
ophthalmic,opthalmic
spirit,spirt
paying,paing
specialised,speciallized
predominately,prominately
amend,ammend
admissibility,admissability
cash,cach
cast,kast
slippery,slipery
slippers,slipers
wintry,wintery
bowl,bole
team-mates,teamates
shifts,shilts
confidential,confidental
nest,nast
refusal,refusla
drives,drive
persons,person
canister,cannister
statue,statu
implements,implemtes
magical,majical
aggro,agro
relied,realied
reward,reword
whereas,wheras
bodies,bodys*2
guided,guard
unconstitutional,unconisitional
ninth,nineth*2
violent,filent
satin,saten
captured,captored
blot,blat
hint,hent
rose,roes
embezzled,embezelled
scrapbook,scrap_book
disrupt,disrupte
catarrh,catar
loaned,laoned
tig,tige
well-built,well_built
shillings,shilling*2
perspiration,persperation
slice,slise
caribbean,carribean
prolific,profilic
defenceless,defencless
freed,fleed
calmed,carmd
quit,quite*2
calmer,comer
resurrection,ressurection
keratin,ceratin
one_day,oneday
zealous,zelous
paralysis,parallysis
stand,sand
ladies,ladys
cambridge,cambrige
adders,addres
That's,Thats
accounts,acounts
theoretically,thredically
in_depth,indepth
inadvertent,inadvertant
cultures,culu
alleges,alledges
forbade,forbad
municipalities,muncipalities
mischief,mischeif
fundamentals,fundametals
tranquility,tranquillity
regard,reguard
Porky,Paulkey
cabinet,cabinate
promote,promot
show-off,show_off
applying,applieing
ennui,ennuui
strongly,stongly
contributors,contributers
frighten,friten
necessitates,nessisitates
britain,britian
diverged,diversed
bishop,bishope
a_long,along
onerous,onirous
compel,compell
insurance,insurence
rubber,ruber
roses,ross
oneself,ones_self
symbol,synbol
includes,incueds
brass,bras
assassins,assasins
clinically,clinicaly
applause,applaus
curve,cerve
peninsular,penninsular
prolegomena,prologomena
lace,lase
lack,lake
parakeets,parrakeets
seals,seas
executing,excecuting
dish,dich
settlement,settelment
apartment,appartment
dairy,diary
cress,crest
defuse,difues
fax,faxe
fat,fet
bubbles,bubbals
misspelling,mispelling
grandfather,grandfarther
programme,programe
flick,fick
louvre,loovar
rate,rait
sum,some
crust,crost
version,verison
bossing,bosing
ruffle,ruffel
Susan,susan
epitome,epitomy
geared,gird
heifer,effer
deities,dieties*2
miniature,minature*2
supplements,suplements
horrified,horrieyfide
disposition,dispostion
faint,fant
wield,weild
pervaded,prevaded
dissatisfied,disatisfied
converters,convertors
grabbing,grabbin
discovering,dicovering
known,none
glad,glatt
plagiarism,plaigarism
equation,equasion
daisy_chains,daisychain's
excursion,excurtion
redecoration,redecoraton
niagara,niagra
arise,arrise
cultivate,cultavate
swung,swonge
extinguisher,extinguser
off-centre,off_center
broadly,broady
desperation,despiration
okay,okaye
algebra,algerbra
adventure,aventure
proclaimed,proclamed
penitentiary,penitentary
supervision,supervison
shore,shor
developed,developped
disabled,disabelled
scientist,scienc
reconnect,reconnet
eluded,alluded
inquiries,equiries
developer,deyveliper
disagreed,dissagreed
style,stile
slipped,sliped
millinery,millinary
resort,resourt
centre-half,center_half
unusable,unuseable
communities,comminites
adventurous,adventerous
bigger,biger*2
mathematician,mathmatician
philology,phlology
tomatoes,tomatos*2
hammering,hemmsering
friendship,freindship
characterized,charaterized
malfunction,malfuc
beneficent,beneficient
repartition,repatition
duchess,dutchess
Joseph,Jospeh
anonymity,anonimity
wondered,wonder
commemorative,commemerative
health,helth
Teddy_boys,Taddyboys
thread,thred
Flemish,Flemmish
healthwise,health_ways
bourgeoisie,bourgoisie
threat,thret
twenty,tewenty
tennis-ball,tennis_ball
feed,fed
connotation,cannotation
dine,dime
unhealthy,on_hethy
upper,uper
radical,rap
fancy,fance
sympathy,sympthy
knick-knacks,knicknacks
notify,notife
blank,blak
totalitarianism,totalitarionism
regret,regreat
syrup,syrap
store,stor
headache,headace
attendants,attendents
not_in,notin
gutter,guter*2
syllables,sylables
nagging,naging
dispensed,dispenced
stalk,stork
inventiveness,int
silence,silents
enamored,enamoured
Zionist,Sionist
Beryl,Beryil*3
alike,alick
smallpox,small_pox
finding,find
irritated,iritated
architects,archetects
rarefied,rarified
cigarette,cigaret
seasons,season
measured,mesured
equatorial,equitorial
quorum,quorem
windows,windous
traditional,traditonal
institutions,insitutions
journeys,journies
incunabula,incunabla
aggravate,agravate
securing,secureing
camel,camal
technologically,tecln
transcendental,transcendentational
aficionado,afficionado
telltaling,tell_tailing
hid,hide
factorization,factontion
nickelodeon,nickleodeon
retaliated,retalitated
consciously,conciously
dump,pump
achieves,acheives
defense,defence
bare,bear*2
arm,arn
barn,bran*3
learns,lerans
surmounted,surmountin
libraries,libraies
orbiting,orbitting
numerous,numorous
solo,solow
initially,intially
tuck-shop,tuck_shop
days',day's
arbitrarily,arbitarily
guts,futs
sweet,swet
sweep,swep
harbour,harber
weasel,wasel
nettles,nettes
political,polictical
whom,whome
apprehensively,aprehensivly
sociable,socable
varnish,vanish
buck,bouk
transferring,transfering
miring,morning
workmen,work_men
shortened,shortend*2
Italy,Itlay
misfiring,miss_fireing
disappointing,dissapoiting
obstacle,obstacal
rid,red
ideologies,idealogies
stimulated,simulated
kimono,kimona
orientated,orentated
widely,widly
advise,advice
daughters,doltos
cartridge,cartrige
restraint,restraunt
negotiate,negociate
sagacious,sagatious
lower,louer
equalled,equaled
dared,dere
machinery,machinary
stating,stateing
presume,presum
competitive,competive
questions,qustions
margarine,magerine
tables,table
workers,work
Orignal,orginal
systematically,systemetically
ignore,egnore
collect,colect
depleted,depleated
translators,translaters
acclimatization,acclimitization
emanate,eminate
clown,cloun
selfishness,selfeshness
stately,statelly
Fire,Fiyer
crisis,crises
adoptive,addoptive
inoculate,innoculate*2
monastery,monestary
tourers,turrers
perpendicular,perpindicular
violins,voilins
Roy,Roys
complimentary,complementary
cutoff,cutf
Philip's,perllips
unnoticed,unnotie
tenth,tent
acquiesce,aquiese
Every,Evey
prettier,prettyer
summertime,summer_time
perform,preform
sections,section
files,fiels
mountains,mowtins
girlfriends,girlfriend
searching,serching
filed,fild
Austin,Autin
raising,rasing
Mara_Liasson,liason
consist,consisit
declarations,declaratrions
hasn't,hasen't
interbreed,interbread
reservoirs,resoviors
ingredients,ingreediants
rainy,rainey
peach,pech
scrutinized,scrutiniesed
towers,tower
polishers,polishes
problems,problem
pottery,potery
happier,happyer
vice,vise
Malcolm,Malcom
liquefy,liquify*3
remit,remitt
impatient,impationt
weights,weigths
narrative,narative
scroll,scoll
issued,isued
resistance,resistence
dispel,dispell
gang,ganer
cupboards,cubards
uphold,uphole
languages,laguages
stable,stabel
dramatically,dramaticly
golliwogs,golly-wogs
bedrooms,bed_room
spoon,spon
any_more,anymore
drinking,driking
paternity,paternaty
notes,nots*2
dealt,delt
noted,notted
enamoured,enamored
reunion,renunion
unavailable,unavailble
capital,capitol
ammunition,amunition
delighted,delited
degree,degre
pushing,pusing
youngest,youngeist
desired,disired
separation,seperation*2
perforation,preforation
group_sex,groupsex
pickle,pickel
colouration,coloration
suggests,sugests
meths-powered,meths_powered
snobby,snoby
feverishly,fevorishly
motor,moter
duck,duk
apply,aply
cordoning,cordonning
fed,feed
fee,fea
consumption,consup
frog,forg
weeping,weping
timing,timeing
parliament,parliment
musician,musican
rabbit,rabit
strategically,stratigically
tar,tare
tax,tacks
carrot,carret
sir,ser
united,unighted
buoyant,bouyant*2
six,sex
parlour,palor
fortunate,fortuneate
dependent,dependant*2
struggled,strogald
typewriter,typwriter
lesion,liasion
nobbled,knobled
tact,tacked
perjury,perjery
abuse,abouse
wrist,rist
disproved,disproo
unbeliever,unbeleiver
accordion,acordian
crawling,crowling
perishing,perrishine
coolly,cooly*2
unjustified,unjustefied
strove,strived
dearest,derest
interpreter,interpretter
badges,bages
superior,supperior
carols,caroles
Butlins,butlins
contention,contension
flour,flower
flew,flow
negligent,neglegant
republican,republician
successor,succesor
articles,articals
feast,fest
trimmed,trimed
crikey,crigckey
erratic,eratic
upheavals,upheavels
pro_tem,protem
Next,Nexe
forenoon,fornoon
Which,Wiich
performs,performes
attentively,atentively
proviso,provisoe
promptly,promtly
kipper,kippur
conversation,convesation
hence,hense
exhibitionist,exabisionish
bouquet,boquet
bonnet,bonet
intuitively,intutively
effervescent,effervesent
wimp,whimp
wagging,waggin
Wings,Wing
shelf,shalf
shallow,shalow
diminish,diminsh
Catalina,Cataline
richer,recher
patients,patiants
arouse,arrouse
squealing,skwelling
sculpture,sculptor
coalesced,coalesed
sincerity,sincerety
levelled,leveled
unbearable,unbearible
agency,agentcy
deadlier,deadil
savagely,savagly
petrol,petal
vitamins,vitamines
discourage,discourge
refreshing,refection
neighboring,neigbouring
vernacular,veracular
movie,movei
marge,marg
levitated,levetated
planning,planing
taxonomic,taxanomic
filthy,fithy
subtracting,substracting
nearer,nerer
babyish,babeish
pastoral,pastural
daren't,darnt
corridored,corridoored
combo,cumba
counsellor,councellor
spun,spund
plaintiff,plantiff
midnight,midnigth
flirting,flearting
ophthalmology,opthalmology
words,word
queries,quies
econometric,economtric
requirement,ret
expel,expell
Thinking,Thinkng
acquires,adquires
Galatians,Galations
easels,essals
weighing,waying
extravagant,extravagent
joy,goy
spoil,spol
memento,momento
lifeboat,life_boat
tremolo,tremelo
willow,wilow
santa_claus,santa_clus
Rolls,rowles
commando,comando
rampantly,ramplily
respect,respct
Los_Angeles,Las_Angles
semaphore,sepaphore
mike,mic
nickel,nickle*2
painted,panted*2
ensuring,i
abandoned,abondoned
fearful,fearfull
choices,choises
persevered,perservered
supply,suply
quick-tempered,quick_tempered
layer,lloyer
ringing,rininging
thus,thous
pilgrimages,pilgrimmages
kissed,kiss
cross,cros
misogynist,mysogynist
gets,get*4
grandeur,granduer
slave,slav
premiere,premeire
conceived,concieved
disagree,diagree
diploma,deploma
beast,best
overcrowded,overcrowed
collar,collor
dignitary,dignatary
slaughterhouse,slaughthouse*4
theses,thses
pyjama,pygama
inter-schools,interschools
realised,relized
bending,bend_in
heavily,heavilly
room-mate,roomate
wealthy,welthy
cries,crys
recollection,recolection
rapid,raped
bell,ball
sky,skiy
capabilities,capabiltes
attractive,atractive
usage,useage*2
identical,identicial
sick,sik
provisions,provisons
execute,excecute
corresponds,corrisponds
raincoats,rain_coats
press,prass
redesign,redign
ticket,tiket
plough,plowe
loses,looses
counsellors,councellors
sloping,slopping
exceed,excede*2
scared,scarred
contemporaneous,contemporaneus
reclamation,reclaimation
birthmark,birth_mark
promontory,promonotory
export,exsport
scares,scards
synchronize,synshronise
bossed,bosed
instantaneous,instantanous
leap,leep
leader,leder
trout,trot
locate,locat
obey,obay
analysed,analised
asinine,assinine
fluorescent,florescent
paste,past
extension,extention
dependence,dependance*2
dependency,dependancy
carries,carrys
futurist,furturist
sweat,swet
argumentative,argumentitive
promise,promis
en_route,on_route
yankee,yanky
effeminate,affeminate
intention,intension
nourish,norish
over-protecting,over_protecting
deuce,duece
distract,distarct
record,recrod
stirring,stirrin
attained,attaindre
gnawing,knawing
bombarding,boma
goodness,goodnes
squirrel,squrrel
guitarist,guitarest
roars,rorse
incredibly,incredibally
marshland,marshladn
kinds,kins
rhapsody,raphsody
insipid,incepid
commencement,commencment
suppressing,supressing
tonner,toner
sash,sach
